unit,speed,bonus,game_ticks,attacks,expected_attacks
WOLF,1,0,601,76,76
WOLF,1,2,601,77,77
WOLF,1,8,601,82,82
WOLF,2,0,1202,151,151
WOLF,2,2,1202,154,154
WOLF,2,8,1202,163,163
WOLF,4,0,2404,301,301
WOLF,4,2,2404,307,307
WOLF,4,8,2404,325,325
WOLF,8,0,4808,601,601
WOLF,8,2,4808,614,613
WOLF,8,8,4808,650,649
WOLF,16,0,9616,1202,1202
WOLF,16,2,9616,1227,1226
WOLF,16,8,9616,1299,1299
POLAR_BEAR,1,0,601,43,43
POLAR_BEAR,1,2,601,44,44
POLAR_BEAR,1,8,601,47,47
POLAR_BEAR,2,0,1202,86,86
POLAR_BEAR,2,2,1202,88,88
POLAR_BEAR,2,8,1202,93,93
POLAR_BEAR,4,0,2404,172,172
POLAR_BEAR,4,2,2404,176,176
POLAR_BEAR,4,8,2404,186,186
POLAR_BEAR,8,0,4808,344,344
POLAR_BEAR,8,2,4808,351,351
POLAR_BEAR,8,8,4808,371,371
POLAR_BEAR,16,0,9616,687,687
POLAR_BEAR,16,2,9616,701,701
POLAR_BEAR,16,8,9616,742,742
PANDA,1,0,601,34,34
PANDA,1,2,601,35,35
PANDA,1,8,601,37,37
PANDA,2,0,1202,67,67
PANDA,2,2,1202,69,69
PANDA,2,8,1202,73,73
PANDA,4,0,2404,134,134
PANDA,4,2,2404,137,137
PANDA,4,8,2404,145,145
PANDA,8,0,4808,268,268
PANDA,8,2,4808,273,273
PANDA,8,8,4808,289,289
PANDA,16,0,9616,535,535
PANDA,16,2,9616,545,545
PANDA,16,8,9616,577,577
RABBIT,1,0,601,121,121
RABBIT,1,2,601,123,123
RABBIT,1,8,601,130,130
RABBIT,2,0,1202,241,241
RABBIT,2,2,1202,246,246
RABBIT,2,8,1202,260,260
RABBIT,4,0,2404,481,481
RABBIT,4,2,2404,491,491
RABBIT,4,8,2404,520,520
RABBIT,8,0,4808,962,962
RABBIT,8,2,4808,981,981
RABBIT,8,8,4808,1039,1039
RABBIT,16,0,9616,1924,1924
RABBIT,16,2,9616,1962,1962
RABBIT,16,8,9616,2078,2077
IRON_GOLEM,1,0,601,43,43
IRON_GOLEM,1,2,601,44,44
IRON_GOLEM,1,8,601,47,47
IRON_GOLEM,2,0,1202,86,86
IRON_GOLEM,2,2,1202,88,88
IRON_GOLEM,2,8,1202,93,93
IRON_GOLEM,4,0,2404,172,172
IRON_GOLEM,4,2,2404,176,176
IRON_GOLEM,4,8,2404,186,186
IRON_GOLEM,8,0,4808,344,344
IRON_GOLEM,8,2,4808,351,351
IRON_GOLEM,8,8,4808,371,371
IRON_GOLEM,16,0,9616,687,687
IRON_GOLEM,16,2,9616,701,701
IRON_GOLEM,16,8,9616,742,742
HOGLIN,1,0,601,55,55
HOGLIN,1,2,601,56,56
HOGLIN,1,8,601,60,59
HOGLIN,2,0,1202,110,110
HOGLIN,2,2,1202,112,112
HOGLIN,2,8,1202,119,118
HOGLIN,4,0,2404,219,219
HOGLIN,4,2,2404,223,223
HOGLIN,4,8,2404,237,236
HOGLIN,8,0,4808,438,438
HOGLIN,8,2,4808,446,446
HOGLIN,8,8,4808,473,472
HOGLIN,16,0,9616,875,875
HOGLIN,16,2,9616,892,892
HOGLIN,16,8,9616,945,945
GOAT,1,0,601,86,86
GOAT,1,2,601,88,88
GOAT,1,8,601,93,93
GOAT,2,0,1202,172,172
GOAT,2,2,1202,176,176
GOAT,2,8,1202,186,186
GOAT,4,0,2404,344,344
GOAT,4,2,2404,351,351
GOAT,4,8,2404,371,371
GOAT,8,0,4808,687,687
GOAT,8,2,4808,701,701
GOAT,8,8,4808,742,742
GOAT,16,0,9616,1374,1374
GOAT,16,2,9616,1402,1402
GOAT,16,8,9616,1484,1484
RAVAGER,1,0,601,34,34
RAVAGER,1,2,601,35,35
RAVAGER,1,8,601,37,37
RAVAGER,2,0,1202,67,67
RAVAGER,2,2,1202,69,69
RAVAGER,2,8,1202,73,73
RAVAGER,4,0,2404,134,134
RAVAGER,4,2,2404,137,137
RAVAGER,4,8,2404,145,145
RAVAGER,8,0,4808,268,268
RAVAGER,8,2,4808,273,273
RAVAGER,8,8,4808,289,289
RAVAGER,16,0,9616,535,535
RAVAGER,16,2,9616,545,545
RAVAGER,16,8,9616,577,577
SKELETON,1,0,601,55,55
SKELETON,1,2,601,56,56
SKELETON,1,8,601,60,59
SKELETON,2,0,1202,110,110
SKELETON,2,2,1202,112,112
SKELETON,2,8,1202,119,118
SKELETON,4,0,2404,219,219
SKELETON,4,2,2404,223,223
SKELETON,4,8,2404,237,236
SKELETON,8,0,4808,438,438
SKELETON,8,2,4808,446,446
SKELETON,8,8,4808,473,472
SKELETON,16,0,9616,875,875
SKELETON,16,2,9616,892,892
SKELETON,16,8,9616,945,945
STRAY,1,0,601,43,43
STRAY,1,2,601,44,44
STRAY,1,8,601,47,47
STRAY,2,0,1202,86,86
STRAY,2,2,1202,88,88
STRAY,2,8,1202,93,93
STRAY,4,0,2404,172,172
STRAY,4,2,2404,176,176
STRAY,4,8,2404,186,186
STRAY,8,0,4808,344,344
STRAY,8,2,4808,351,351
STRAY,8,8,4808,371,371
STRAY,16,0,9616,687,687
