scenario,from_round,to_round,reached_from,reached_to,conditional_percent
none,30,60,233,182,78.11158798283262
none,60,100,182,68,37.362637362637365
none,100,200,68,38,55.88235294117647
none,200,300,38,33,86.8421052631579
none,300,400,33,22,66.66666666666666
none,400,500,22,16,72.72727272727273
none,500,600,16,3,18.75
none,600,700,3,0,0.0
none,700,800,0,0,
none,800,900,0,0,
none,900,1000,0,0,
none,1000,1250,0,0,
none,1250,1500,0,0,
none,1500,1750,0,0,
none,1750,2000,0,0,
none,2000,2100,0,0,
none,2100,2250,0,0,
none,2250,2400,0,0,
none,2400,2500,0,0,
top_fusion,30,60,256,254,99.21875
top_fusion,60,100,254,244,96.06299212598425
top_fusion,100,200,244,243,99.59016393442623
top_fusion,200,300,243,211,86.83127572016461
top_fusion,300,400,211,189,89.57345971563981
top_fusion,400,500,189,171,90.47619047619048
top_fusion,500,600,171,129,75.43859649122807
top_fusion,600,700,129,66,51.162790697674424
top_fusion,700,800,66,36,54.54545454545454
top_fusion,800,900,36,27,75.0
top_fusion,900,1000,27,21,77.77777777777779
top_fusion,1000,1250,21,0,0.0
top_fusion,1250,1500,0,0,
top_fusion,1500,1750,0,0,
top_fusion,1750,2000,0,0,
top_fusion,2000,2100,0,0,
top_fusion,2100,2250,0,0,
top_fusion,2250,2400,0,0,
top_fusion,2400,2500,0,0,
top_income_damage,30,60,256,254,99.21875
top_income_damage,60,100,254,219,86.22047244094489
top_income_damage,100,200,219,215,98.17351598173516
top_income_damage,200,300,215,163,75.81395348837209
top_income_damage,300,400,163,150,92.02453987730061
top_income_damage,400,500,150,139,92.66666666666666
top_income_damage,500,600,139,111,79.85611510791367
top_income_damage,600,700,111,51,45.94594594594595
top_income_damage,700,800,51,24,47.05882352941176
top_income_damage,800,900,24,22,91.66666666666666
top_income_damage,900,1000,22,13,59.09090909090909
top_income_damage,1000,1250,13,0,0.0
top_income_damage,1250,1500,0,0,
top_income_damage,1500,1750,0,0,
top_income_damage,1750,2000,0,0,
top_income_damage,2000,2100,0,0,
top_income_damage,2100,2250,0,0,
top_income_damage,2250,2400,0,0,
top_income_damage,2400,2500,0,0,
top_growth,30,60,254,250,98.4251968503937
top_growth,60,100,250,206,82.39999999999999
top_growth,100,200,206,201,97.57281553398059
top_growth,200,300,201,161,80.09950248756219
top_growth,300,400,161,143,88.81987577639751
top_growth,400,500,143,135,94.4055944055944
top_growth,500,600,135,100,74.07407407407408
top_growth,600,700,100,52,52.0
top_growth,700,800,52,25,48.07692307692308
top_growth,800,900,25,24,96.0
top_growth,900,1000,24,12,50.0
top_growth,1000,1250,12,0,0.0
top_growth,1250,1500,0,0,
top_growth,1500,1750,0,0,
top_growth,1750,2000,0,0,
top_growth,2000,2100,0,0,
top_growth,2100,2250,0,0,
top_growth,2250,2400,0,0,
top_growth,2400,2500,0,0,
top_combat,30,60,256,254,99.21875
top_combat,60,100,254,246,96.8503937007874
top_combat,100,200,246,242,98.3739837398374
top_combat,200,300,242,177,73.14049586776859
top_combat,300,400,177,144,81.35593220338984
top_combat,400,500,144,133,92.36111111111111
top_combat,500,600,133,90,67.66917293233082
top_combat,600,700,90,26,28.888888888888886
top_combat,700,800,26,3,11.538461538461538
top_combat,800,900,3,1,33.33333333333333
top_combat,900,1000,1,1,100.0
top_combat,1000,1250,1,0,0.0
top_combat,1250,1500,0,0,
top_combat,1500,1750,0,0,
top_combat,1750,2000,0,0,
top_combat,2000,2100,0,0,
top_combat,2100,2250,0,0,
top_combat,2250,2400,0,0,
top_combat,2400,2500,0,0,
