scenario,reference,round,only_scenario_reached,only_reference_reached,difference_pp
top_fusion,none,30,23,0,8.984375
top_fusion,none,60,72,0,28.125
top_fusion,none,100,176,0,68.75
top_fusion,none,200,205,0,80.078125
top_fusion,none,300,178,0,69.53125
top_fusion,none,400,167,0,65.234375
top_fusion,none,500,156,1,60.546875
top_fusion,none,600,126,0,49.21875
top_fusion,none,700,66,0,25.78125
top_fusion,none,800,36,0,14.0625
top_fusion,none,900,27,0,10.546875
top_fusion,none,1000,21,0,8.203125
top_fusion,none,1250,0,0,0.0
top_fusion,none,1500,0,0,0.0
top_fusion,none,1750,0,0,0.0
top_fusion,none,2000,0,0,0.0
top_fusion,none,2100,0,0,0.0
top_fusion,none,2250,0,0,0.0
top_fusion,none,2400,0,0,0.0
top_fusion,none,2500,0,0,0.0
top_income_damage,none,30,23,0,8.984375
top_income_damage,none,60,72,0,28.125
top_income_damage,none,100,151,0,58.984375
top_income_damage,none,200,177,0,69.140625
top_income_damage,none,300,132,2,50.78125
top_income_damage,none,400,130,2,50.0
top_income_damage,none,500,125,2,48.046875
top_income_damage,none,600,109,1,42.1875
top_income_damage,none,700,51,0,19.921875
top_income_damage,none,800,24,0,9.375
top_income_damage,none,900,22,0,8.59375
top_income_damage,none,1000,13,0,5.078125
top_income_damage,none,1250,0,0,0.0
top_income_damage,none,1500,0,0,0.0
top_income_damage,none,1750,0,0,0.0
top_income_damage,none,2000,0,0,0.0
top_income_damage,none,2100,0,0,0.0
top_income_damage,none,2250,0,0,0.0
top_income_damage,none,2400,0,0,0.0
top_income_damage,none,2500,0,0,0.0
top_growth,none,30,21,0,8.203125
top_growth,none,60,68,0,26.5625
top_growth,none,100,142,4,53.90625
top_growth,none,200,164,1,63.671875
top_growth,none,300,130,2,50.0
top_growth,none,400,126,5,47.265625
top_growth,none,500,123,4,46.484375
top_growth,none,600,98,1,37.890625
top_growth,none,700,52,0,20.3125
top_growth,none,800,25,0,9.765625
top_growth,none,900,24,0,9.375
top_growth,none,1000,12,0,4.6875
top_growth,none,1250,0,0,0.0
top_growth,none,1500,0,0,0.0
top_growth,none,1750,0,0,0.0
top_growth,none,2000,0,0,0.0
top_growth,none,2100,0,0,0.0
top_growth,none,2250,0,0,0.0
top_growth,none,2400,0,0,0.0
top_growth,none,2500,0,0,0.0
top_combat,none,30,23,0,8.984375
top_combat,none,60,72,0,28.125
top_combat,none,100,178,0,69.53125
top_combat,none,200,204,0,79.6875
top_combat,none,300,146,2,56.25
top_combat,none,400,126,4,47.65625
top_combat,none,500,119,2,45.703125
top_combat,none,600,88,1,33.984375
top_combat,none,700,26,0,10.15625
top_combat,none,800,3,0,1.171875
top_combat,none,900,1,0,0.390625
top_combat,none,1000,1,0,0.390625
top_combat,none,1250,0,0,0.0
top_combat,none,1500,0,0,0.0
top_combat,none,1750,0,0,0.0
top_combat,none,2000,0,0,0.0
top_combat,none,2100,0,0,0.0
top_combat,none,2250,0,0,0.0
top_combat,none,2400,0,0,0.0
top_combat,none,2500,0,0,0.0
