scenario,round,reached,runs,percent,wilson95_low_percent,wilson95_high_percent,completed
none,30,233,256,91.015625,86.87984850418648,93.93866327337874,231
none,60,182,256,71.09375,65.26113609415182,76.30266996288174,182
none,100,68,256,26.5625,21.527669094275787,32.29032417568694,67
none,200,38,256,14.84375,11.009474695863961,19.717515209080126,38
none,300,33,256,12.890625,9.328077992555084,17.550411351552565,33
none,400,22,256,8.59375,5.743557903626671,12.668230206640807,22
none,500,16,256,6.25,3.8833641128511647,9.910223324412588,16
none,600,3,256,1.171875,0.3993287123007758,3.3881572667882303,3
none,700,0,256,0.0,0,1.478385642587143,0
none,800,0,256,0.0,0,1.478385642587143,0
none,900,0,256,0.0,0,1.478385642587143,0
none,1000,0,256,0.0,0,1.478385642587143,0
none,1250,0,256,0.0,0,1.478385642587143,0
none,1500,0,256,0.0,0,1.478385642587143,0
none,1750,0,256,0.0,0,1.478385642587143,0
none,2000,0,256,0.0,0,1.478385642587143,0
none,2100,0,256,0.0,0,1.478385642587143,0
none,2250,0,256,0.0,0,1.478385642587143,0
none,2400,0,256,0.0,0,1.478385642587143,0
none,2500,0,256,0.0,0,1.478385642587143,0
top_fusion,30,256,256,100.0,98.52161435741286,99.99999999999999,256
top_fusion,60,254,256,99.21875,97.19672316984642,99.78549096323187,254
top_fusion,100,244,256,95.3125,91.98669811156822,97.29851489983719,244
top_fusion,200,243,256,94.921875,91.50689403789347,97.00861886134464,243
top_fusion,300,211,256,82.421875,77.28971415203974,86.59539515784516,211
top_fusion,400,189,256,73.828125,68.11957065092896,78.8321361912756,189
top_fusion,500,171,256,66.796875,60.81703762966486,72.28006719352852,171
top_fusion,600,129,256,50.390625,44.30558870480185,56.464111407365436,129
top_fusion,700,66,256,25.78125,20.808593083982156,31.469999961646,66
top_fusion,800,36,256,14.0625,10.333688392273096,18.853901288336413,36
top_fusion,900,27,256,10.546875,7.350191137657121,14.910097533446798,27
top_fusion,1000,21,256,8.203125,5.427759190690546,12.214328807409647,21
top_fusion,1250,0,256,0.0,0,1.478385642587143,0
top_fusion,1500,0,256,0.0,0,1.478385642587143,0
top_fusion,1750,0,256,0.0,0,1.478385642587143,0
top_fusion,2000,0,256,0.0,0,1.478385642587143,0
top_fusion,2100,0,256,0.0,0,1.478385642587143,0
top_fusion,2250,0,256,0.0,0,1.478385642587143,0
top_fusion,2400,0,256,0.0,0,1.478385642587143,0
top_fusion,2500,0,256,0.0,0,1.478385642587143,0
top_income_damage,30,256,256,100.0,98.52161435741286,99.99999999999999,256
top_income_damage,60,254,256,99.21875,97.19672316984642,99.78549096323187,254
top_income_damage,100,219,256,85.546875,80.71377780781674,89.32893239940644,219
top_income_damage,200,215,256,83.984375,78.99445744170772,87.96945231684631,215
top_income_damage,300,163,256,63.671875,57.61850475491121,69.32099917094386,163
top_income_damage,400,150,256,58.59375,52.476379279264165,64.45702318841617,150
top_income_damage,500,139,256,54.296875,48.17606408924305,60.29063714459713,139
top_income_damage,600,111,256,43.359375,37.43116188841748,49.48393620473863,111
top_income_damage,700,51,256,19.921875,15.489813913670408,25.24327744944842,51
top_income_damage,800,24,256,9.375,6.380984818307681,13.570203516294374,24
top_income_damage,900,22,256,8.59375,5.743557903626671,12.668230206640807,22
top_income_damage,1000,13,256,5.078125,2.9913811386553535,8.493105962106533,12
top_income_damage,1250,0,256,0.0,0,1.478385642587143,0
top_income_damage,1500,0,256,0.0,0,1.478385642587143,0
top_income_damage,1750,0,256,0.0,0,1.478385642587143,0
top_income_damage,2000,0,256,0.0,0,1.478385642587143,0
top_income_damage,2100,0,256,0.0,0,1.478385642587143,0
top_income_damage,2250,0,256,0.0,0,1.478385642587143,0
top_income_damage,2400,0,256,0.0,0,1.478385642587143,0
top_income_damage,2500,0,256,0.0,0,1.478385642587143,0
top_growth,30,254,256,99.21875,97.19672316984642,99.78549096323187,254
top_growth,60,250,256,97.65625,94.98190043999489,98.92151324441424,250
top_growth,100,206,256,80.46875,75.17702074567393,84.85958800337453,206
top_growth,200,201,256,78.515625,73.08246699718836,83.10564119102366,201
top_growth,300,161,256,62.890625,56.82303286253407,68.57707083898643,161
top_growth,400,143,256,55.859375,49.734573849859956,61.81092783264936,143
top_growth,500,135,256,52.734375,46.62346942501266,58.764431360158355,135
top_growth,600,100,256,39.0625,33.28978937125557,45.15860748806036,100
top_growth,700,52,256,20.3125,15.839924133131683,25.66286734215443,52
top_growth,800,25,256,9.765625,6.702402222215342,14.018486224554,25
top_growth,900,24,256,9.375,6.380984818307681,13.570203516294374,24
top_growth,1000,12,256,4.6875,2.7014851001628077,8.01330188843179,12
top_growth,1250,0,256,0.0,0,1.478385642587143,0
top_growth,1500,0,256,0.0,0,1.478385642587143,0
top_growth,1750,0,256,0.0,0,1.478385642587143,0
top_growth,2000,0,256,0.0,0,1.478385642587143,0
top_growth,2100,0,256,0.0,0,1.478385642587143,0
top_growth,2250,0,256,0.0,0,1.478385642587143,0
top_growth,2400,0,256,0.0,0,1.478385642587143,0
top_growth,2500,0,256,0.0,0,1.478385642587143,0
top_combat,30,256,256,100.0,98.52161435741286,99.99999999999999,256
top_combat,60,254,256,99.21875,97.19672316984642,99.78549096323187,254
top_combat,100,246,256,96.09375,92.96001682001327,97.86459641572671,246
top_combat,200,242,256,94.53125,91.03104192747176,96.71477085959907,242
top_combat,300,177,256,69.140625,63.234179746387454,74.48112574980965,177
top_combat,400,144,256,56.25,50.12513172897817,62.190070065698436,144
top_combat,500,133,256,51.953125,45.849377534637746,57.99912302619868,133
top_combat,600,90,256,35.15625,29.5661910800322,41.18520465761086,90
top_combat,700,26,256,10.15625,7.025498422463894,14.465090136472735,26
top_combat,800,3,256,1.171875,0.3993287123007758,3.3881572667882303,3
top_combat,900,1,256,0.390625,0.06898821669617927,2.1790975380582513,1
top_combat,1000,1,256,0.390625,0.06898821669617927,2.1790975380582513,1
top_combat,1250,0,256,0.0,0,1.478385642587143,0
top_combat,1500,0,256,0.0,0,1.478385642587143,0
top_combat,1750,0,256,0.0,0,1.478385642587143,0
top_combat,2000,0,256,0.0,0,1.478385642587143,0
top_combat,2100,0,256,0.0,0,1.478385642587143,0
top_combat,2250,0,256,0.0,0,1.478385642587143,0
top_combat,2400,0,256,0.0,0,1.478385642587143,0
top_combat,2500,0,256,0.0,0,1.478385642587143,0
