scenario,last_round,runs
none,26,3
none,27,4
none,28,12
none,29,4
none,30,2
none,31,12
none,33,20
none,35,5
none,36,1
none,38,3
none,40,1
none,44,6
none,45,1
none,83,5
none,87,1
none,88,21
none,91,1
none,92,3
none,93,45
none,94,1
none,96,3
none,97,13
none,98,21
none,100,1
none,111,1
none,113,1
none,115,3
none,117,1
none,119,2
none,120,1
none,121,2
none,122,1
none,123,1
none,124,2
none,125,1
none,135,1
none,144,1
none,149,2
none,154,3
none,159,1
none,169,1
none,173,2
none,183,1
none,198,1
none,221,2
none,225,1
none,245,1
none,264,1
none,324,1
none,333,1
none,334,1
none,340,1
none,349,1
none,358,1
none,373,2
none,388,1
none,393,1
none,398,1
none,425,1
none,433,1
none,444,1
none,469,1
none,488,1
none,498,1
none,523,1
none,525,1
none,544,3
none,545,1
none,549,1
none,553,1
none,568,1
none,573,3
none,598,1
none,625,2
none,640,1
top_fusion,31,2
top_fusion,98,10
top_fusion,115,1
top_fusion,249,1
top_fusion,254,2
top_fusion,268,1
top_fusion,273,16
top_fusion,278,1
top_fusion,283,4
top_fusion,293,3
top_fusion,298,4
top_fusion,321,1
top_fusion,324,1
top_fusion,325,3
top_fusion,329,1
top_fusion,333,3
top_fusion,335,1
top_fusion,340,1
top_fusion,345,1
top_fusion,354,2
top_fusion,369,1
top_fusion,373,3
top_fusion,388,1
top_fusion,393,3
top_fusion,428,1
top_fusion,440,1
top_fusion,445,1
top_fusion,449,2
top_fusion,453,2
top_fusion,454,1
top_fusion,469,2
top_fusion,471,1
top_fusion,473,4
top_fusion,478,1
top_fusion,488,1
top_fusion,498,1
top_fusion,518,1
top_fusion,523,1
top_fusion,528,1
top_fusion,530,1
top_fusion,535,2
top_fusion,540,3
top_fusion,541,1
top_fusion,544,3
top_fusion,545,1
top_fusion,548,1
top_fusion,554,3
top_fusion,564,1
top_fusion,569,1
top_fusion,573,5
top_fusion,583,5
top_fusion,584,1
top_fusion,588,2
top_fusion,593,6
top_fusion,598,3
top_fusion,624,1
top_fusion,632,1
top_fusion,633,2
top_fusion,635,1
top_fusion,640,4
top_fusion,643,4
top_fusion,644,2
top_fusion,645,1
top_fusion,650,1
top_fusion,654,3
top_fusion,659,1
top_fusion,663,1
top_fusion,668,3
top_fusion,669,3
top_fusion,671,4
top_fusion,672,1
top_fusion,673,10
top_fusion,678,1
top_fusion,683,5
top_fusion,684,2
top_fusion,688,3
top_fusion,693,4
top_fusion,694,1
top_fusion,698,4
top_fusion,728,1
top_fusion,729,1
top_fusion,730,1
top_fusion,733,1
top_fusion,738,1
top_fusion,739,2
