elapsed_seconds,completed,new_completed,active_workers,threads,process_cpu_percent,games_per_second
5.118,44,44,12,12,81.62,8.598
10.220,124,124,12,12,82.78,12.133
15.355,199,199,12,12,81.73,12.960
20.611,264,264,12,12,82.57,12.809
25.678,324,324,12,12,82.88,12.618
30.710,382,382,12,12,83.20,12.439
35.879,438,438,12,12,82.51,12.208
40.965,504,504,12,12,81.95,12.303
46.015,575,575,12,12,81.75,12.496
51.235,627,627,12,12,81.90,12.238
56.280,687,687,12,12,81.66,12.207
61.338,744,744,12,12,81.89,12.130
66.339,806,806,12,12,82.10,12.150
71.445,864,864,12,12,81.79,12.093
76.477,924,924,12,12,81.29,12.082
81.481,969,969,12,12,79.87,11.892
86.572,1005,1005,12,12,77.91,11.609
91.628,1050,1050,12,12,77.01,11.459
96.680,1108,1108,12,12,76.89,11.461
101.725,1154,1154,12,12,76.99,11.344
106.780,1210,1210,12,12,76.78,11.332
111.972,1256,1256,12,12,76.43,11.217
115.545,1280,1280,0,12,75.63,11.078
