seed,draw_index,raw_type
36000133,20420,EVOKER
36000155,20429,GUARDIAN
36000197,20181,BOGGED
36000219,18985,WITCH
36000225,21935,GHAST
36000234,21830,SHULKER
36000269,20698,GUARDIAN
36000310,18610,ALLAY
36000311,19478,WITHER_SKELETON
36000371,19159,VEX
36000378,21317,WARDEN
36000415,19250,VEX
36000432,20376,VEX
36000463,19342,BOGGED
36000574,18632,BLAZE
36000700,18821,BOGGED
36000790,21771,STRAY
36000801,18925,RAVAGER
36000848,21177,VEX
36000854,19082,ALLAY
36000870,18605,HOGLIN
36000876,19718,BOGGED
36000877,21492,WITCH
36000898,18599,WITCH
36000906,21655,WOLF
36000928,19526,GHAST
36000938,20615,VEX
36000944,20091,WITHER_SKELETON
36000967,18948,WITCH
36001044,21386,RAVAGER
36001081,20676,GOAT
36001095,19087,SNOW_GOLEM
36001115,21573,HOGLIN
36001162,20897,SNOW_GOLEM
36001222,20141,WOLF
36001275,20489,VEX
36001363,21997,WITHER_SKELETON
36001401,20476,SHULKER
36001508,20209,POLAR_BEAR
36001513,21396,GHAST
36001517,19543,EVOKER
36001528,21180,GOAT
36001531,18832,WITHER_SKELETON
36001551,20996,GHAST
36001581,19245,ALLAY
36001593,20154,STRAY
36001595,21313,PANDA
36001606,21319,WITHER_SKELETON
36001634,20112,WITHER_SKELETON
36001641,20060,EVOKER
36001688,18863,IRON_GOLEM
36001692,18709,GHAST
36001724,21087,RABBIT
36001776,21306,STRAY
36001786,20715,RAVAGER
36001790,18503,RAVAGER
36001828,20062,IRON_GOLEM
36001840,21546,GHAST
36001864,19430,POLAR_BEAR
36001869,20622,RAVAGER
36001876,21821,WOLF
36001899,18772,WITCH
36001932,19923,BOGGED
36001933,20322,ALLAY
36001988,18528,PANDA
36002007,18774,LLAMA
36002030,20014,GHAST
36002051,20539,SNOW_GOLEM
36002061,19770,STRAY
36002104,21520,SHULKER
36002120,19500,EVOKER
36002122,19911,WOLF
36002150,20081,VEX
36002253,21426,LLAMA
36002280,21008,GOAT
36002314,18551,RABBIT
36002403,19500,PANDA
36002404,18580,HOGLIN
36002441,20062,RABBIT
36002447,19455,IRON_GOLEM
36002476,19165,WARDEN
36002502,19686,POLAR_BEAR
36002619,21735,PANDA
36002631,19321,STRAY
36002638,18674,SKELETON
36002653,21382,LLAMA
36002670,18676,PIGLIN
36002712,20428,IRON_GOLEM
36002720,19102,WARDEN
36002747,20484,VEX
36002775,21582,WITCH
36002813,19648,WITCH
36002832,21738,WITCH
36002912,21893,GHAST
36002918,21536,HOGLIN
36002927,20667,GOAT
36002955,21890,BOGGED
36002957,19523,BLAZE
36002992,18690,RABBIT
36002996,19575,VEX
36003011,18840,BLAZE
36003036,18934,RABBIT
36003049,18851,SKELETON
36003050,20406,GHAST
36003084,19829,RABBIT
36003118,20762,BLAZE
36003127,19629,STRAY
36003228,19141,PANDA
36003240,19606,BOGGED
36003328,21638,IRON_GOLEM
36003343,19494,SHULKER
36003350,19661,IRON_GOLEM
36003372,19210,POLAR_BEAR
36003419,18880,EVOKER
36003422,19305,ALLAY
36003454,20795,PANDA
36003466,20398,WARDEN
36003482,21221,WITCH
36003552,19881,WOLF
36003559,19023,IRON_GOLEM
36003686,21066,WITCH
36003700,19229,IRON_GOLEM
36003731,20521,PIGLIN
36003737,19128,ALLAY
36003791,21180,WOLF
36003808,20707,EVOKER
36003868,18802,BLAZE
36003903,18508,EVOKER
36004128,20491,PANDA
36004137,21890,SKELETON
36004153,19353,WOLF
36004162,18682,WITCH
36004178,21795,ALLAY
36004197,19112,SNOW_GOLEM
36004199,19542,POLAR_BEAR
36004216,19103,VEX
36004262,20462,RAVAGER
36004354,19628,BOGGED
36004395,20322,BOGGED
36004451,21815,LLAMA
36004482,20415,WARDEN
36004490,21398,WITHER_SKELETON
36004499,21350,ALLAY
36004538,20631,WOLF
36004644,19671,GOAT
36004661,20682,WOLF
36004673,21064,RABBIT
36004702,20936,GUARDIAN
36004791,18911,WITHER_SKELETON
36004805,19249,WITHER_SKELETON
36004811,18532,POLAR_BEAR
36004850,19077,STRAY
36004888,20161,PIGLIN
36004935,20699,SNOW_GOLEM
36004951,18953,GUARDIAN
36004963,19321,VEX
36004976,21133,LLAMA
36004994,21330,WITHER_SKELETON
36005041,19037,LLAMA
36005095,20158,STRAY
36005201,19600,SKELETON
36005202,21672,BOGGED
36005207,18794,SNOW_GOLEM
36005298,18594,POLAR_BEAR
36005315,19750,IRON_GOLEM
36005327,19728,BOGGED
36005332,18680,HOGLIN
36005343,21123,BOGGED
36005368,18800,STRAY
36005386,18748,PIGLIN
36005416,18621,LLAMA
36005494,20712,BOGGED
36005497,18810,STRAY
36005511,20498,VEX
36005562,19143,STRAY
36005592,19078,EVOKER
36005594,21736,RABBIT
36005605,19115,WITHER_SKELETON
36005619,21272,BLAZE
36005625,19941,BOGGED
36005633,21423,RABBIT
36005657,20339,GHAST
36005673,21668,ALLAY
36005681,19765,STRAY
36005705,19229,WARDEN
36005773,19269,GHAST
36005793,21934,WOLF
36005810,21789,PANDA
36005841,21739,GOAT
36005844,21574,WITHER_SKELETON
36005885,19194,SHULKER
36005924,21284,PIGLIN
36006019,19118,POLAR_BEAR
36006088,18864,RAVAGER
36006089,18632,PIGLIN
36006110,21226,SKELETON
36006135,21220,WOLF
36006180,19768,HOGLIN
36006211,20054,PANDA
36006227,20260,HOGLIN
36006228,20156,GHAST
36006234,20905,WOLF
36006271,18595,SNOW_GOLEM
36006277,20133,SKELETON
36006305,19053,EVOKER
36006318,21017,VEX
36006321,18862,GHAST
36006346,21175,BOGGED
36006349,19562,PIGLIN
36006362,18975,SNOW_GOLEM
36006478,21689,EVOKER
36006487,18987,BLAZE
36006503,21710,BOGGED
36006505,21799,HOGLIN
36006511,20001,STRAY
36006551,19118,RAVAGER
36006623,19042,WARDEN
36006635,20757,SNOW_GOLEM
36006658,21553,GOAT
36006676,19542,RABBIT
36006723,20972,WOLF
36006780,20576,GOAT
36006846,18741,LLAMA
36006864,19524,BLAZE
36006873,19105,BOGGED
36006925,21235,ALLAY
36006950,21199,HOGLIN
36006967,19521,WITHER_SKELETON
36006998,19674,RABBIT
36007026,19158,POLAR_BEAR
36007071,18783,IRON_GOLEM
36007125,20483,SNOW_GOLEM
36007199,19129,SNOW_GOLEM
36007217,19070,RABBIT
36007223,19900,STRAY
36007230,19246,PIGLIN
36007298,21830,ALLAY
36007309,21170,GUARDIAN
36007314,21118,IRON_GOLEM
36007321,19037,SNOW_GOLEM
36007414,21139,WITHER_SKELETON
36007451,21289,PANDA
36007455,20974,STRAY
36007468,18928,PIGLIN
36007475,20538,ALLAY
36007509,18759,HOGLIN
36007522,21300,GOAT
36007587,21313,STRAY
36007596,21127,WITHER_SKELETON
36007617,20965,WITCH
36007635,21336,ALLAY
36007699,21003,WOLF
36007736,21709,WITCH
36007747,19225,HOGLIN
36007781,20140,GOAT
36007824,18815,BLAZE
36007830,18551,LLAMA
36007833,18660,GOAT
36007840,19215,BOGGED
36007841,21034,GHAST
36007897,18820,SHULKER
36007937,18964,RAVAGER
36007972,18913,PANDA
36008055,21242,WITHER_SKELETON
36008070,21852,PANDA
36008119,21361,LLAMA
36008160,19326,PIGLIN
36008174,19169,PANDA
36008191,20074,GOAT
36008216,19978,EVOKER
36008228,20223,WOLF
36008246,18865,VEX
36008252,19872,POLAR_BEAR
36008298,21684,PIGLIN
36008325,21434,IRON_GOLEM
36008333,20815,RAVAGER
36008382,21833,PANDA
36008427,21384,BLAZE
36008429,21034,SKELETON
36008488,21243,WOLF
36008493,19057,STRAY
36008508,19614,GOAT
36008538,21176,BLAZE
