scenario,traits,runs,mean_round,reach30,reach60,reach100,reach150,reach200,reach250,reach300,reach500,reach700
none,,1024,116.95703125,933,709,322,254,230,214,89,0,0
round_250,round_250,1024,138.48828125,1005,891,414,314,281,266,114,0,0
round_350,round_350,1024,138.2021484375,1005,891,412,312,280,266,113,0,0
session_100,session_100,1024,123.2373046875,951,744,349,275,250,235,95,0,0
session_250,session_250,1024,123.7275390625,951,747,350,280,252,234,98,0,0
session_500,session_500,1024,118.845703125,940,720,325,262,237,222,88,0,0
session_1000,session_1000,1024,118.4052734375,935,712,329,260,236,220,91,0,0
opening_three,round_750+round_350+session_1000,1024,155.181640625,1024,1019,484,363,328,308,128,0,0
epic_opening_three,round_750+round_350+session_500,1024,154.240234375,1024,1019,475,359,325,304,129,0,0
combat_three,round_2000+mythic_1000+true_primordial_100,1024,234.5166015625,1023,1012,933,710,659,638,456,0,0
forge_three,enhancement_50000+mythic_1000+true_primordial_100,1024,224.98828125,1012,967,894,691,628,611,374,0,0
