scenario,traits,runs,mean_round,reach30,reach60,reach100,reach150,reach200,reach250,reach300,reach500,reach700
none,,256,106.59765625,229,173,69,51,46,42,15,0,0
round_100,round_100,256,136.98046875,250,221,101,76,70,63,26,0,0
round_125,round_125,256,119.21875,243,197,83,60,54,50,22,0,0
round_150,round_150,256,135.32421875,255,237,94,70,65,60,24,0,0
round_200,round_200,256,122.49609375,235,191,88,66,58,54,24,0,0
round_250,round_250,256,124.19140625,249,219,82,62,57,52,20,0,0
round_300,round_300,256,129.50390625,237,194,97,73,65,58,30,0,0
round_350,round_350,256,124.19140625,249,219,82,62,57,52,20,0,0
round_400,round_400,256,143.27734375,256,246,105,78,70,64,29,0,0
round_500,round_500,256,133.26171875,239,202,101,74,68,62,30,0,0
round_600,round_600,256,128.7890625,240,201,100,69,60,57,25,0,0
round_700,round_700,256,137.32421875,242,205,104,79,72,67,35,0,0
round_750,round_750,256,141.3203125,256,247,103,76,67,61,22,0,0
round_1000,round_1000,256,135.38671875,243,209,107,73,65,59,31,0,0
round_1500,round_1500,256,148.1875,245,214,122,89,80,75,39,0,0
round_2000,round_2000,256,153.2265625,246,219,129,92,85,80,39,0,0
epic_100,epic_100,256,115.015625,232,182,80,59,51,48,22,0,0
epic_250,epic_250,256,123.71484375,235,190,94,66,57,53,21,0,0
epic_500,epic_500,256,130.36328125,239,199,97,73,65,60,28,0,0
epic_1000,epic_1000,256,135.49609375,242,205,105,78,68,63,30,0,0
epic_2500,epic_2500,256,141.546875,245,211,113,82,72,67,32,0,0
mythic_10,mythic_10,256,111.7265625,231,180,82,53,47,43,17,0,0
mythic_25,mythic_25,256,123.96484375,234,189,91,66,60,58,25,0,0
mythic_50,mythic_50,256,120.37109375,236,191,84,63,56,51,23,0,0
mythic_100,mythic_100,256,124.421875,238,193,96,66,58,52,24,0,0
mythic_250,mythic_250,256,128.93359375,239,200,96,69,63,61,29,0,0
mythic_500,mythic_500,256,135.515625,241,207,104,78,68,64,29,0,0
mythic_1000,mythic_1000,256,135.05078125,242,205,105,74,68,63,31,0,0
primordial_1,primordial_1,256,106.515625,229,173,69,50,46,42,13,0,0
primordial_2,primordial_2,256,103.61328125,229,173,68,46,41,40,13,0,0
primordial_3,primordial_3,256,108.86328125,229,173,73,54,47,44,19,0,0
primordial_5,primordial_5,256,108.49609375,229,173,70,54,48,46,13,0,0
primordial_10,primordial_10,256,103.00390625,229,173,66,46,41,38,14,0,0
primordial_20,primordial_20,256,102.37890625,229,171,63,47,40,37,13,0,0
primordial_30,primordial_30,256,106.6640625,229,172,65,53,47,46,13,0,0
primordial_50,primordial_50,256,110.40625,229,174,76,55,49,45,18,0,0
primordial_75,primordial_75,256,113.0078125,229,176,83,56,50,47,19,0,0
primordial_100,primordial_100,256,108.3515625,229,173,74,53,46,43,16,0,0
true_primordial_1,true_primordial_1,256,125.30859375,237,195,94,67,58,54,24,0,0
true_primordial_2,true_primordial_2,256,124.72265625,238,196,86,68,60,55,26,0,0
true_primordial_3,true_primordial_3,256,130.99609375,239,200,101,72,64,61,27,0,0
true_primordial_5,true_primordial_5,256,127.4453125,241,200,95,69,60,58,24,0,0
true_primordial_10,true_primordial_10,256,133.984375,241,203,100,77,68,63,29,0,0
true_primordial_20,true_primordial_20,256,139.8828125,241,204,115,82,73,68,35,0,0
true_primordial_30,true_primordial_30,256,141.5,243,209,115,82,73,68,36,0,0
true_primordial_50,true_primordial_50,256,145.3671875,246,212,119,90,75,70,35,0,0
true_primordial_75,true_primordial_75,256,149.90234375,246,218,122,88,82,78,41,0,0
true_primordial_100,true_primordial_100,256,153.07421875,247,219,123,96,86,80,39,0,0
enhancement_100,enhancement_100,256,115.33984375,229,175,83,64,53,49,15,0,0
enhancement_500,enhancement_500,256,115.671875,230,175,88,60,52,46,15,0,0
enhancement_2000,enhancement_2000,256,123.71875,230,175,100,70,60,56,25,0,0
enhancement_10000,enhancement_10000,256,121.24609375,231,177,98,66,57,52,19,0,0
enhancement_50000,enhancement_50000,256,130.37890625,231,178,112,75,66,62,27,0,0
role_melee_single_150,role_melee_single_150,256,114.31640625,233,182,82,56,51,45,19,0,0
role_melee_cleave_150,role_melee_cleave_150,256,113.375,232,179,75,57,52,47,24,0,0
role_ranged_single_150,role_ranged_single_150,256,106.4140625,236,178,70,48,43,41,14,0,0
role_small_area_150,role_small_area_150,256,111.6875,232,182,78,56,46,41,15,0,0
role_large_area_150,role_large_area_150,256,118.7734375,235,188,83,61,55,51,19,0,0
role_multi_target_150,role_multi_target_150,256,113.234375,231,183,78,55,50,47,19,0,0
start_two,round_150+round_250,256,136.78125,256,246,91,71,65,61,26,0,0
start_three,round_750+round_250+round_2000,256,170.7421875,256,256,143,107,94,90,51,0,0
combat_three,round_2000+mythic_1000+true_primordial_100,256,230.37890625,254,249,232,173,159,155,106,0,0
forge_three,enhancement_50000+mythic_1000+true_primordial_100,256,209.4296875,250,238,213,153,138,131,81,0,0
boss_three,round_2000+primordial_100+mythic_1000,256,183.734375,250,237,167,122,115,112,60,0,0
session_100,session_100,256,110.0703125,233,179,74,54,47,44,16,0,0
session_250,session_250,256,113.8203125,234,180,77,58,52,49,20,0,0
session_500,session_500,256,113.23046875,234,183,77,57,50,47,18,0,0
session_1000,session_1000,256,113.4609375,234,183,77,58,50,47,19,0,0
opening_three,round_750+round_350+session_1000,256,151.0703125,256,253,111,88,80,71,34,0,0
epic_opening_three,round_750+round_350+session_500,256,151.1796875,256,253,112,88,79,71,33,0,0
