round	biome	stage	theme	roster	boss	wardens
1	plains	OVERWORLD	평야 진입	ZOMBIE,SPIDER	-	0
2	sunflower_plains	OVERWORLD	해바라기 들판	BEE,ZOMBIE	-	0
3	forest	OVERWORLD	숲길	WOLF,SPIDER,ZOMBIE	-	0
4	flower_forest	OVERWORLD	꽃숲	BEE	-	0
5	birch_forest	OVERWORLD	자작나무숲	SKELETON,SPIDER	-	0
6	old_growth_birch_forest	OVERWORLD	오래된 자작나무숲	ZOMBIE,SKELETON,SPIDER	-	0
7	dappled_forest	OVERWORLD	얼룩빛 숲	WOLF,SKELETON	-	0
8	dark_forest	OVERWORLD	삼림 대저택 외곽	VINDICATOR,SPIDER	-	0
9	pale_garden	OVERWORLD	창백한 정원	SPIDER,SPIDER,CREAKING	-	0
10	swamp	OVERWORLD	늪지 오두막	SLIME,WITCH	WITCH	0
11	mangrove_swamp	OVERWORLD	맹그로브 수로	FROG,SLIME,DROWNED	-	0
12	jungle	OVERWORLD	정글 유적 입구	ZOMBIE,SKELETON,SPIDER	-	0
13	sparse_jungle	OVERWORLD	성긴 정글	OCELOT,SKELETON	-	0
14	bamboo_jungle	OVERWORLD	대나무 밀림	SPIDER,SPIDER,PANDA	-	0
15	savanna	OVERWORLD	사바나 마을 외곽	PILLAGER,ZOMBIE	-	0
16	savanna_plateau	OVERWORLD	고원 습격대	PILLAGER,PILLAGER,RAVAGER	-	0
17	windswept_savanna	OVERWORLD	바람 부는 사바나	SPIDER,PILLAGER	-	0
18	desert	OVERWORLD	사막 피라미드	HUSK,SKELETON,CREEPER	-	0
19	badlands	OVERWORLD	황무지 협곡	HUSK,SPIDER	-	0
20	wooded_badlands	OVERWORLD	황무지 폐광	CAVE_SPIDER,HUSK	CAVE_SPIDER	0
21	eroded_badlands	OVERWORLD	침식된 첨탑 지대	HUSK,CAVE_SPIDER	-	0
22	meadow	OVERWORLD	산기슭 초원	SHEEP,BEE,ZOMBIE	-	0
23	cherry_grove	OVERWORLD	벚꽃 언덕	BEE,SPIDER,SKELETON	-	0
24	taiga	OVERWORLD	타이가 마을	WOLF,ZOMBIE	-	0
25	old_growth_pine_taiga	OVERWORLD	거대 소나무숲	WOLF,SKELETON	-	0
26	old_growth_spruce_taiga	OVERWORLD	거대 가문비나무숲	ZOMBIE,SPIDER	-	0
27	snowy_taiga	OVERWORLD	눈 덮인 숲	STRAY,WOLF	-	0
28	snowy_plains	OVERWORLD	이글루 주변	STRAY,ZOMBIE	-	0
29	ice_spikes	OVERWORLD	역고드름 지대	STRAY,STRAY,POLAR_BEAR	-	0
30	grove	OVERWORLD	설산 수목 지대	WOLF,STRAY	POLAR_BEAR	0
31	snowy_slopes	OVERWORLD	눈 덮인 비탈	GOAT,STRAY	-	0
32	frozen_peaks	OVERWORLD	얼어붙은 봉우리	POLAR_BEAR,STRAY	-	0
33	jagged_peaks	OVERWORLD	뾰족한 봉우리	GOAT,SKELETON	-	0
34	stony_peaks	OVERWORLD	돌 봉우리	SKELETON,CREEPER	-	0
35	windswept_hills	OVERWORLD	바람 부는 언덕	LLAMA,SKELETON	-	0
36	windswept_gravelly_hills	OVERWORLD	자갈 언덕	CREEPER,SPIDER	-	0
37	windswept_forest	OVERWORLD	산악 숲	WOLF,SPIDER,SKELETON	-	0
38	river	OVERWORLD	강변	DROWNED,SQUID	-	0
39	frozen_river	OVERWORLD	얼어붙은 강	DROWNED,STRAY	-	0
40	beach	OVERWORLD	난파선 해안	DROWNED,TURTLE	DROWNED	0
41	snowy_beach	OVERWORLD	눈 덮인 해안	STRAY,DROWNED	-	0
42	stony_shore	OVERWORLD	돌 해안	DROWNED,SKELETON	-	0
43	ocean	OVERWORLD	대양	COD,SQUID,DROWNED	-	0
44	deep_ocean	OVERWORLD	해저 유적	DROWNED,GUARDIAN	-	0
45	lukewarm_ocean	OVERWORLD	미지근한 바다	TROPICAL_FISH,PUFFERFISH,DROWNED	-	0
46	deep_lukewarm_ocean	OVERWORLD	깊은 해저 유적	GUARDIAN,DROWNED	-	0
47	warm_ocean	OVERWORLD	산호초	TROPICAL_FISH,PUFFERFISH	-	0
48	cold_ocean	OVERWORLD	차가운 바다	SALMON,SQUID,DROWNED	-	0
49	deep_cold_ocean	OVERWORLD	해저 신전 접근	GUARDIAN,DROWNED	-	0
50	frozen_ocean	OVERWORLD	빙산 아래 해저 신전	GUARDIAN,DROWNED	ELDER_GUARDIAN	0
51	deep_frozen_ocean	OVERWORLD	깊은 빙해	GUARDIAN,SQUID	-	0
52	mushroom_fields	OVERWORLD	버섯섬	MOOSHROOM,RABBIT	-	0
53	lush_caves	OVERWORLD	무성한 동굴	AXOLOTL,GLOW_SQUID,ZOMBIE	-	0
54	dripstone_caves	OVERWORLD	점적석 동굴 폐광	CAVE_SPIDER,SKELETON,CREEPER	-	0
55	sulfur_caves	OVERWORLD	유황 동굴	SLIME,CREEPER,CAVE_SPIDER	-	0
56	deep_dark	ANCIENT_CITY	깊은 어둠	ZOMBIE,SKELETON,SPIDER	-	0
57	deep_dark	ANCIENT_CITY	스컬크가 번진 동굴	CREEPER,CAVE_SPIDER,SKELETON	-	0
58	deep_dark	ANCIENT_CITY	고대 도시 외곽	ZOMBIE,SPIDER,SKELETON	-	0
59	deep_dark	ANCIENT_CITY	첫 비명	ZOMBIE,SKELETON,CAVE_SPIDER	-	1
